# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.831 us    |  kthread_should_stop();

 1)               |      finish_task_switch.isra.0() {
 1)   0.250 us    |        raw_spin_rq_unlock();
 1)   0.972 us    |      }
 1) @ 511975.0 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.180 us    |        _raw_spin_lock_irqsave();
 1)   0.611 us    |      }
 1)   0.211 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   1.764 us    |    }
 1) @ 511980.2 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.260 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   1.001 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   0.871 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.311 us    |    fill_contig_page_info();
 1)   0.701 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.280 us    |    fill_contig_page_info();
 1)   0.621 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.271 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.260 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.211 us    |    fill_contig_page_info();
 1)   0.551 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)   0.171 us    |  kthread_should_stop();
 1)   0.170 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.190 us    |    _raw_spin_unlock_irqrestore();
 1)   0.921 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.170 us    |      _raw_spin_lock_irqsave();
 1)   0.501 us    |    }
 1)   0.170 us    |    detach_if_pending();
 1)   0.180 us    |    get_nohz_timer_target();
 1)   0.191 us    |    calc_wheel_index();
 1)   0.180 us    |    enqueue_timer();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.171 us    |        rcu_qs();
 1)   0.501 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.210 us    |        _raw_spin_lock();
 1)   0.631 us    |      }
 1)   0.220 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.180 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.181 us    |              rcu_read_unlock_strict();
 1)   0.551 us    |            }
 1)   0.161 us    |            rcu_read_unlock_strict();
 1)   1.943 us    |          }
 1)   0.200 us    |          __update_load_avg_se();
 1)   0.201 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.190 us    |          update_cfs_group();
 1)   0.191 us    |          update_min_vruntime();
 1)   4.208 us    |        }
 1)   0.171 us    |        hrtick_update();
 1)   4.959 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.170 us    |            __msecs_to_jiffies();
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   0.902 us    |          }
 1)   1.282 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.531 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   0.531 us    |            }
 1)   0.170 us    |            queue_core_balance();
 1)   1.273 us    |          }
 1)   1.613 us    |        }
 1)   4.158 us    |      }
 1)               |      psi_task_switch() {
 1)   0.170 us    |        psi_flags_change();
 1)   0.190 us    |        iterate_groups();
 1)   0.371 us    |        psi_group_change();
 1)   0.171 us    |        iterate_groups();
 1)   1.813 us    |      }
 1)   0.621 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   1.653 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.240 us    |        raw_spin_rq_unlock();
 1)   0.991 us    |      }
 1) @ 511993.4 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.171 us    |        _raw_spin_lock_irqsave();
 1)   0.561 us    |      }
 1)   0.201 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   1.763 us    |    }
 1) @ 511998.4 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.261 us    |    _raw_spin_lock_irqsave();
 1)   0.211 us    |    _raw_spin_unlock_irqrestore();
 1)   1.032 us    |  }
 1)   0.181 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.181 us    |    _raw_spin_unlock_irqrestore();
 1)   0.862 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.300 us    |    fill_contig_page_info();
 1)   0.962 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.251 us    |    fill_contig_page_info();
 1)   0.581 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.260 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.271 us    |    fill_contig_page_info();
 1)   0.601 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.270 us    |    fill_contig_page_info();
 1)   1.263 us    |  }
 1)   0.221 us    |  kthread_should_stop();
 1)   0.210 us    |  kthread_should_stop();
 1)   0.170 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.190 us    |    _raw_spin_unlock_irqrestore();
 1)   0.901 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.170 us    |      _raw_spin_lock_irqsave();
 1)   0.541 us    |    }
 1)   0.190 us    |    detach_if_pending();
 1)   0.190 us    |    get_nohz_timer_target();
 1)   0.201 us    |    calc_wheel_index();
 1)   0.180 us    |    enqueue_timer();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.171 us    |        rcu_qs();
 1)   0.501 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.491 us    |      }
 1)   0.220 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.190 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.180 us    |              rcu_read_unlock_strict();
 1)   0.611 us    |            }
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   1.994 us    |          }
 1)   0.190 us    |          __update_load_avg_se();
 1)   0.201 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.180 us    |          update_cfs_group();
 1)   0.191 us    |          update_min_vruntime();
 1)   4.228 us    |        }
 1)   0.171 us    |        hrtick_update();
 1)   5.009 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.171 us    |            __msecs_to_jiffies();
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   0.902 us    |          }
 1)   1.262 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.531 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.160 us    |              rcu_read_unlock_strict();
 1)   0.531 us    |            }
 1)   0.170 us    |            queue_core_balance();
 1)   1.333 us    |          }
 1)   1.673 us    |        }
 1)   4.268 us    |      }
 1)               |      psi_task_switch() {
 1)   0.180 us    |        psi_flags_change();
 1)   0.180 us    |        iterate_groups();
 1)   0.351 us    |        psi_group_change();
 1)   0.181 us    |        iterate_groups();
 1)   1.813 us    |      }
 1)   0.652 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   1.663 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.251 us    |        raw_spin_rq_unlock();
 1)   1.052 us    |      }
 1) @ 511980.5 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.171 us    |        _raw_spin_lock_irqsave();
 1)   0.571 us    |      }
 1)   0.211 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   2.295 us    |    }
 1) @ 511986.7 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.291 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   1.052 us    |  }
 1)   0.191 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.181 us    |    _raw_spin_unlock_irqrestore();
 1)   0.902 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.301 us    |    fill_contig_page_info();
 1)   0.791 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.241 us    |    fill_contig_page_info();
 1)   0.571 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.261 us    |    fill_contig_page_info();
 1)   0.621 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.270 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.281 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)   0.170 us    |  kthread_should_stop();
 1)   0.181 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.922 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.171 us    |      _raw_spin_lock_irqsave();
 1)   0.521 us    |    }
 1)   0.181 us    |    detach_if_pending();
 1)   0.190 us    |    get_nohz_timer_target();
 1)   0.200 us    |    calc_wheel_index();
 1)   0.181 us    |    enqueue_timer();
 1)   0.200 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.170 us    |        rcu_qs();
 1)   0.511 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.491 us    |      }
 1)   0.220 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.181 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.210 us    |              rcu_read_unlock_strict();
 1)   0.621 us    |            }
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   2.064 us    |          }
 1)   0.200 us    |          __update_load_avg_se();
 1)   0.200 us    |          __update_load_avg_cfs_rq();
 1)   0.171 us    |          clear_buddies();
 1)   0.190 us    |          update_cfs_group();
 1)   0.190 us    |          update_min_vruntime();
 1)   4.318 us    |        }
 1)   0.180 us    |        hrtick_update();
 1)   5.069 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.180 us    |            __msecs_to_jiffies();
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   0.922 us    |          }
 1)   1.283 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.191 us    |          put_prev_entity();
 1)   0.531 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   0.922 us    |            }
 1)   0.171 us    |            queue_core_balance();
 1)   1.743 us    |          }
 1)   2.084 us    |        }
 1)   4.689 us    |      }
 1)               |      psi_task_switch() {
 1)   0.171 us    |        psi_flags_change();
 1)   0.180 us    |        iterate_groups();
 1)   0.340 us    |        psi_group_change();
 1)   0.180 us    |        iterate_groups();
 1)   1.823 us    |      }
 1)   0.631 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   1.714 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.250 us    |        raw_spin_rq_unlock();
 1)   0.991 us    |      }
 1) @ 511950.6 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.181 us    |        _raw_spin_lock_irqsave();
 1)   0.551 us    |      }
 1)   0.191 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   1.723 us    |    }
 1) @ 511955.6 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.271 us    |    _raw_spin_lock_irqsave();
 1)   0.181 us    |    _raw_spin_unlock_irqrestore();
 1)   0.992 us    |  }
 1)   0.181 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.862 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.321 us    |    fill_contig_page_info();
 1)   0.771 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.250 us    |    fill_contig_page_info();
 1)   0.581 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.271 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.280 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.271 us    |    fill_contig_page_info();
 1)   0.651 us    |  }
 1)   0.160 us    |  kthread_should_stop();
 1)   0.171 us    |  kthread_should_stop();
 1)   0.170 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.190 us    |    _raw_spin_unlock_irqrestore();
 1)   0.891 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.170 us    |      _raw_spin_lock_irqsave();
 1)   0.511 us    |    }
 1)   0.180 us    |    detach_if_pending();
 1)   0.180 us    |    get_nohz_timer_target();
 1)   0.181 us    |    calc_wheel_index();
 1)   0.201 us    |    enqueue_timer();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.171 us    |        rcu_qs();
 1)   0.501 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.491 us    |      }
 1)   0.210 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.180 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.180 us    |              rcu_read_unlock_strict();
 1)   0.561 us    |            }
 1)   0.220 us    |            rcu_read_unlock_strict();
 1)   3.136 us    |          }
 1)   0.230 us    |          __update_load_avg_se();
 1)   0.201 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.180 us    |          update_cfs_group();
 1)   0.191 us    |          update_min_vruntime();
 1)   5.430 us    |        }
 1)   0.171 us    |        hrtick_update();
 1)   6.192 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.170 us    |            __msecs_to_jiffies();
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   0.902 us    |          }
 1)   1.272 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.531 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   0.541 us    |            }
 1)   0.180 us    |            queue_core_balance();
 1)   1.253 us    |          }
 1)   1.603 us    |        }
 1)   4.138 us    |      }
 1)               |      psi_task_switch() {
 1)   0.170 us    |        psi_flags_change();
 1)   0.190 us    |        iterate_groups();
 1)   0.371 us    |        psi_group_change();
 1)   0.181 us    |        iterate_groups();
 1)   1.853 us    |      }
 1)   0.611 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   2.014 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.271 us    |        raw_spin_rq_unlock();
 1)   1.092 us    |      }
 1) @ 512006.7 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.191 us    |        _raw_spin_lock_irqsave();
 1)   0.601 us    |      }
 1)   0.191 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   1.744 us    |    }
 1) @ 512011.6 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.261 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   1.002 us    |  }
 1)   0.191 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.862 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.311 us    |    fill_contig_page_info();
 1)   0.781 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.251 us    |    fill_contig_page_info();
 1)   0.591 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.270 us    |    fill_contig_page_info();
 1)   0.622 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.281 us    |    fill_contig_page_info();
 1)   0.621 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.270 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)   0.170 us    |  kthread_should_stop();
 1)   0.171 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.902 us    |  }
 1)   0.811 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.170 us    |      _raw_spin_lock_irqsave();
 1)   0.571 us    |    }
 1)   0.180 us    |    detach_if_pending();
 1)   0.191 us    |    get_nohz_timer_target();
 1)   0.191 us    |    calc_wheel_index();
 1)   0.190 us    |    enqueue_timer();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.171 us    |        rcu_qs();
 1)   0.521 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.521 us    |      }
 1)   0.221 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.180 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.181 us    |              rcu_read_unlock_strict();
 1)   0.601 us    |            }
 1)   0.171 us    |            rcu_read_unlock_strict();
 1)   2.294 us    |          }
 1)   0.191 us    |          __update_load_avg_se();
 1)   0.200 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.181 us    |          update_cfs_group();
 1)   0.200 us    |          update_min_vruntime();
 1)   4.509 us    |        }
 1)   0.180 us    |        hrtick_update();
 1)   5.360 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.170 us    |            __msecs_to_jiffies();
 1)   0.160 us    |            rcu_read_unlock_strict();
 1)   0.991 us    |          }
 1)   1.403 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.180 us    |          put_prev_entity();
 1)   0.531 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   0.541 us    |            }
 1)   0.170 us    |            queue_core_balance();
 1)   1.343 us    |          }
 1)   1.683 us    |        }
 1)   4.368 us    |      }
 1)               |      psi_task_switch() {
 1)   0.180 us    |        psi_flags_change();
 1)   0.180 us    |        iterate_groups();
 1)   0.341 us    |        psi_group_change();
 1)   0.181 us    |        iterate_groups();
 1)   1.793 us    |      }
 1)   0.692 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   1.533 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.261 us    |        raw_spin_rq_unlock();
 1)   0.972 us    |      }
 1) @ 511972.0 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.180 us    |        _raw_spin_lock_irqsave();
 1)   0.571 us    |      }
 1)   0.190 us    |      detach_if_pending();
 1)   0.200 us    |      _raw_spin_unlock_irqrestore();
 1)   1.693 us    |    }
 1) @ 511977.1 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.260 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.981 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   1.512 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.331 us    |    fill_contig_page_info();
 1)   0.842 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.240 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.281 us    |    fill_contig_page_info();
 1)   0.641 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.511 us    |    fill_contig_page_info();
 1)   0.852 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.270 us    |    fill_contig_page_info();
 1)   0.622 us    |  }
 1)   0.180 us    |  kthread_should_stop();
 1)   0.170 us    |  kthread_should_stop();
 1)   0.170 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.180 us    |    _raw_spin_lock_irqsave();
 1)   0.191 us    |    _raw_spin_unlock_irqrestore();
 1)   0.932 us    |  }
 1)   0.170 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.190 us    |      _raw_spin_lock_irqsave();
 1)   0.541 us    |    }
 1)   0.180 us    |    detach_if_pending();
 1)   0.190 us    |    get_nohz_timer_target();
 1)   0.190 us    |    calc_wheel_index();
 1)   0.181 us    |    enqueue_timer();
 1)   0.170 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
 1)   0.170 us    |        rcu_qs();
 1)   0.511 us    |      }
 1)               |      raw_spin_rq_lock_nested() {
 1)   0.170 us    |        _raw_spin_lock();
 1)   0.491 us    |      }
 1)   0.220 us    |      update_rq_clock();
 1)               |      dequeue_task_fair() {
 1)               |        dequeue_entity() {
 1)               |          update_curr() {
 1)   0.181 us    |            update_min_vruntime();
 1)               |            cpuacct_charge() {
 1)   0.210 us    |              rcu_read_unlock_strict();
 1)   0.631 us    |            }
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   2.074 us    |          }
 1)   0.250 us    |          __update_load_avg_se();
 1)   0.270 us    |          __update_load_avg_cfs_rq();
 1)   0.170 us    |          clear_buddies();
 1)   0.191 us    |          update_cfs_group();
 1)   0.190 us    |          update_min_vruntime();
 1)   4.489 us    |        }
 1)   0.180 us    |        hrtick_update();
 1)   5.260 us    |      }
 1)               |      pick_next_task() {
 1)               |        pick_next_task_fair() {
 1)               |          newidle_balance() {
 1)   0.191 us    |            __msecs_to_jiffies();
 1)   0.170 us    |            rcu_read_unlock_strict();
 1)   0.942 us    |          }
 1)   1.312 us    |        }
 1)               |        put_prev_task_fair() {
 1)   0.190 us    |          put_prev_entity();
 1)   0.551 us    |        }
 1)               |        pick_next_task_idle() {
 1)               |          set_next_task_idle() {
 1)               |            __update_idle_core() {
 1)   0.170 us    |              rcu_read_unlock_strict();
 1)   0.561 us    |            }
 1)   0.180 us    |            queue_core_balance();
 1)   1.373 us    |          }
 1)   1.703 us    |        }
 1)   4.388 us    |      }
 1)               |      psi_task_switch() {
 1)   0.170 us    |        psi_flags_change();
 1)   0.180 us    |        iterate_groups();
 1)   0.361 us    |        psi_group_change();
 1)   0.181 us    |        iterate_groups();
 1)   2.384 us    |      }
 1)   0.642 us    |      __traceiter_sched_switch();
 ------------------------------------------
 1)   kcompac-32   =>    <idle>-0   
 ------------------------------------------

 1)   1.843 us    |  enter_lazy_tlb();
 ------------------------------------------
 1)    <idle>-0    =>   kcompac-32  
 ------------------------------------------

 1)               |      finish_task_switch.isra.0() {
 1)   0.260 us    |        raw_spin_rq_unlock();
 1)   1.012 us    |      }
 1) @ 511982.0 us |    }
 1)               |    del_timer_sync() {
 1)               |      lock_timer_base() {
 1)   0.171 us    |        _raw_spin_lock_irqsave();
 1)   0.581 us    |      }
 1)   0.181 us    |      detach_if_pending();
 1)   0.190 us    |      _raw_spin_unlock_irqrestore();
 1)   1.693 us    |    }
 1) @ 511987.2 us |  } /* schedule_timeout */
 1)               |  prepare_to_wait_event() {
 1)   0.261 us    |    _raw_spin_lock_irqsave();
 1)   0.190 us    |    _raw_spin_unlock_irqrestore();
 1)   0.992 us    |  }
 1)   0.171 us    |  kthread_should_stop();
 1)               |  finish_wait() {
 1)   0.171 us    |    _raw_spin_lock_irqsave();
 1)   0.180 us    |    _raw_spin_unlock_irqrestore();
 1)   0.872 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.301 us    |    fill_contig_page_info();
 1)   0.771 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.220 us    |    fill_contig_page_info();
 1)   0.561 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.270 us    |    fill_contig_page_info();
 1)   0.631 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.281 us    |    fill_contig_page_info();
 1)   0.611 us    |  }
 1)               |  extfrag_for_order() {
 1)   0.280 us    |    fill_contig_page_info();
 1)   0.641 us    |  }
 1)   0.171 us    |  kthread_should_stop();
 1)   0.160 us    |  kthread_should_stop();
 1)   0.170 us    |  init_wait_entry();
 1)               |  prepare_to_wait_event() {
 1)   0.170 us    |    _raw_spin_lock_irqsave();
 1)   0.181 us    |    _raw_spin_unlock_irqrestore();
 1)   0.902 us    |  }
 1)   0.161 us    |  kthread_should_stop();
 1)               |  schedule_timeout() {
 1)               |    lock_timer_base() {
 1)   0.170 us    |      _raw_spin_lock_irqsave();
 1)   0.501 us    |    }
 1)   0.180 us    |    detach_if_pending();
 1)   0.181 us    |    get_nohz_timer_target();
 1)   0.181 us    |    calc_wheel_index();
 1)   0.190 us    |    enqueue_timer();
 1)   0.170 us    |    _raw_spin_unlock_irqrestore();
 1)               |    schedule() {
 1)               |      rcu_note_context_switch() {
